"","accession","isolate","host","db_xref","country","collection_date","note","length","definition","version"
"22","MK598381","22329","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 22329, complete genome.","MK598381.1"
"23","MK598380","21541","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 21541, complete genome.","MK598380.1"
"24","MK598379","46293","dog",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 46293, complete genome.","MK598379.1"
"25","MK598378","42708","goat",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 42708, complete genome.","MK598378.1"
"26","MK598377","17182","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 17182, complete genome.","MK598377.1"
"27","MK598376","16663","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 16663, complete genome.","MK598376.1"
"28","MK598375","13961","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 13961, complete genome.","MK598375.1"
"29","MK598374","10436","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 10436, complete genome.","MK598374.1"
"30","MK598373","6917","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 6917, complete genome.","MK598373.1"
"31","MK598372","6003","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 6003, complete genome.","MK598372.1"
"32","MK598371","5695","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 5695, complete genome.","MK598371.1"
"33","MK598370","4834","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 4834, complete genome.","MK598370.1"
"34","MK598369","1816","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 1816, complete genome.","MK598369.1"
"35","MK598368","1322","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 1322, complete genome.","MK598368.1"
"36","MK598367","1608","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 1608, complete genome.","MK598367.1"
"37","MK598366","1606","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 1606, complete genome.","MK598366.1"
"38","MK598365","755","red fox",11292,"Hungary","2014",NA,11798,"Rabies lyssavirus isolate 755, complete genome.","MK598365.1"
"39","MK598364","31183","cattle",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 31183, complete genome.","MK598364.1"
"40","MK598363","31168","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 31168, complete genome.","MK598363.1"
"41","MK598362","30856","cattle",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 30856, complete genome.","MK598362.1"
"42","MK598361","29628","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 29628, complete genome.","MK598361.1"
"43","MK598360","27089","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 27089, complete genome.","MK598360.1"
"44","MK598359","26301","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 26301, complete genome.","MK598359.1"
"45","MK598358","25992","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 25992, complete genome.","MK598358.1"
"46","MK598357","25987","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 25987, complete genome.","MK598357.1"
"47","MK598356","25611","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 25611, complete genome.","MK598356.1"
"48","MK598355","16374","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 16374, complete genome.","MK598355.1"
"49","MK598354","24951","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 24951, complete genome.","MK598354.1"
"50","MK598353","24936","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 24936, complete genome.","MK598353.1"
"51","MK598352","15582","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 15582, complete genome.","MK598352.1"
"52","MK598351","21068","red fox",11292,"Hungary","2013",NA,11798,"Rabies lyssavirus isolate 21068, complete genome.","MK598351.1"
"53","MK598350","1703172","goat",11292,"Hungary","2017",NA,11798,"Rabies lyssavirus isolate 1703172, complete genome.","MK598350.1"
"54","MK598349","1703171","goat",11292,"Hungary","2017",NA,11798,"Rabies lyssavirus isolate 1703171, complete genome.","MK598349.1"
"55","MK598348","8656","red fox",11292,"Hungary","2017",NA,11798,"Rabies lyssavirus isolate 8656, complete genome.","MK598348.1"
"56","MK598347","5666","red fox",11292,"Hungary","2016",NA,11798,"Rabies lyssavirus isolate 5666, complete genome.","MK598347.1"
"57","MK598346","893","red fox",11292,"Hungary","2010",NA,11798,"Rabies lyssavirus isolate 893, complete genome.","MK598346.1"
"58","MK598345","2690","red fox",11292,"Hungary","2010",NA,11798,"Rabies lyssavirus isolate 2690, complete genome.","MK598345.1"
"59","MK598344","1545","red fox",11292,"Hungary","2009",NA,11798,"Rabies lyssavirus isolate 1545, complete genome.","MK598344.1"
"60","MK598343","18072","red fox",11292,"Hungary","2008",NA,11798,"Rabies lyssavirus isolate 18072, complete genome.","MK598343.1"
"61","MK598342","44190","red fox",11292,"Hungary","2009",NA,11799,"Rabies lyssavirus isolate 44190, complete genome.","MK598342.1"
"62","MK598341","5247","red fox",11292,"Hungary","2008",NA,11799,"Rabies lyssavirus isolate 5247, complete genome.","MK598341.1"
"63","MK598340","12496","red fox",11292,"Hungary","2007",NA,11798,"Rabies lyssavirus isolate 12496, complete genome.","MK598340.1"
"64","MK598339","12408","red fox",11292,"Hungary","2007",NA,11799,"Rabies lyssavirus isolate 12408, complete genome.","MK598339.1"
"65","MK598338","18537","red fox",11292,"Hungary","2006",NA,11799,"Rabies lyssavirus isolate 18537, complete genome.","MK598338.1"
"66","MN534897","RABV_Qatar_fox","fox",11292,"Qatar","2018",NA,11874,"Rabies lyssavirus isolate RABV_Qatar_fox, partial genome.","MN534897.1"
"67","MN534896","RABV_Qatar_camel","camel",11292,"Qatar","2018",NA,11874,"Rabies lyssavirus isolate RABV_Qatar_camel, partial genome.","MN534896.1"
"68","MN534895","RABV_Nepal_2019","Homo sapiens",11292,"Nepal","2019",NA,11792,"Rabies lyssavirus isolate RABV_Nepal_2019, partial genome.","MN534895.1"
"69","MN534894","RABV_Nepal_2018","Homo sapiens",11292,"Nepal","2018",NA,11802,"Rabies lyssavirus isolate RABV_Nepal_2018, partial genome.","MN534894.1"
"70","MN726882","Z-16-211","Canis lupus familiaris",11292,"Philippines","2019","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-16-211, partial genome.","MN726882.1"
"71","MN726881","Z-15-130","Canis lupus familiaris",11292,"Philippines","2015","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-15-130, partial genome.","MN726881.1"
"72","MN726880","REGION_5_2019-1","Canis lupus familiaris",11292,"Philippines","2019","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate REGION_5_2019-1, partial genome.","MN726880.1"
"73","MN726879","Z-12-212","Canis lupus familiaris",11292,"Philippines","2012","genotype: Asian SEA4
",11863,"Rabies lyssavirus isolate Z-12-212, partial genome.","MN726879.1"
"74","MN726877","RADDL5-005","Canis lupus familiaris",11292,"Philippines","2015","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate RADDL5-005, partial genome.","MN726877.1"
"75","MN726876","REGION_5_2018-304","Canis lupus familiaris",11292,"Philippines","2018","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate REGION_5_2018-304, partial genome.","MN726876.1"
"76","MN726875","REGION_5_2018-311","Canis lupus familiaris",11292,"Philippines","2018","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate REGION_5_2018-311, partial genome.","MN726875.1"
"77","MN726874","Z-12-134","Canis lupus familiaris",11292,"Philippines","2012","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-12-134, partial genome.","MN726874.1"
"78","MN726873","Z14-152","Canis lupus familiaris",11292,"Philippines","2014","genotype: Asian SEA4
",11863,"Rabies lyssavirus isolate Z14-152, partial genome.","MN726873.1"
"79","MN726872","Z-16-209","Canis lupus familiaris",11292,"Philippines","2017","genotype: Asian SEA4
",11863,"Rabies lyssavirus isolate Z-16-209, partial genome.","MN726872.1"
"80","MN726871","Z-13-071","Canis lupus familiaris",11292,"Philippines","2013","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-13-071, partial genome.","MN726871.1"
"81","MN726870","Z-14-149","Canis lupus familiaris",11292,"Philippines","2014","genotype: Asian SEA4
",11863,"Rabies lyssavirus isolate Z-14-149, partial genome.","MN726870.1"
"82","MN726869","Z-13-096","Felis catus",11292,"Philippines","2013","genotype: Asian SEA4",11653,"Rabies lyssavirus isolate Z-13-096, partial genome.","MN726869.1"
"83","MN726868","Z-16-082","Canis lupus familiaris",11292,"Philippines","2016","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-16-082, partial genome.","MN726868.1"
"84","MN726867","Z12-012","Canis lupus familiaris",11292,"Philippines","2012","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z12-012, partial genome.","MN726867.1"
"85","MN726866","Z-14-138","Canis lupus familiaris",11292,"Philippines","2014","genotype: Asian SEA4
",11765,"Rabies lyssavirus isolate Z-14-138, partial genome.","MN726866.1"
"86","MN726865","Z-14-136","Canis lupus familiaris",11292,"Philippines","2014","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-14-136, partial genome.","MN726865.1"
"87","MN726864","RADDL3-845","Canis lupus familiaris",11292,"Philippines","2016","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate RADDL3-845, partial genome.","MN726864.1"
"88","MN726863","RADDL3-1045","Canis lupus familiaris",11292,"Philippines","2015","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate RADDL3-1045, partial genome.","MN726863.1"
"89","MN726862","Z-13-032","Canis lupus familiaris",11292,"Philippines","2013","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-13-032, partial genome.","MN726862.1"
"90","MN726861","Z-15-019","Canis lupus familiaris",11292,"Philippines","2015","genotype: Asian SEA4
",11791,"Rabies lyssavirus isolate Z-15-019, partial genome.","MN726861.1"
"91","MN726860","REGION_5_2018-100","Canis lupus familiaris",11292,"Philippines","2018","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate REGION_5_2018-100, partial genome.","MN726860.1"
"92","MN726859","RADDL3-15-172","Canis lupus familiaris",11292,"Philippines","2015","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate RADDL3-15-172, partial genome.","MN726859.1"
"93","MN726858","Z-16-186","Canis lupus familiaris",11292,"Philippines","2016","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-16-186, partial genome.","MN726858.1"
"94","MN726857","RADDL1-16-154","Canis lupus familiaris",11292,"Philippines","2016","genotype: Asian SEA4
",11553,"Rabies lyssavirus isolate RADDL1-16-154, partial genome.","MN726857.1"
"95","MN726856","Z-12-118","Canis lupus familiaris",11292,"Philippines","2012","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-12-118, partial genome.","MN726856.1"
"96","MN726855","Z-16-159","Canis lupus familiaris",11292,"Philippines","2016","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-16-159, partial genome.","MN726855.1"
"97","MN726854","Z15-185","Canis lupus familiaris",11292,"Philippines","2015","genotype: Asian SEA4
",11737,"Rabies lyssavirus isolate Z15-185, partial genome.","MN726854.1"
"98","MN726853","Z-12-149","Canis lupus familiaris",11292,"Philippines","2012","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-12-149, partial genome.","MN726853.1"
"99","MN726852","REGION_5_2018-50","Canis lupus familiaris",11292,"Philippines","2018","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate REGION_5_2018-50, partial genome.","MN726852.1"
"100","MN726851","Z14-142","Canis lupus familiaris",11292,"Philippines","2014","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z14-142, partial genome.","MN726851.1"
"101","MN726850","RADDL3-1038","Canis lupus familiaris",11292,"Philippines","2015","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate RADDL3-1038, partial genome.","MN726850.1"
"102","MN726848","Z-16-013","Canis lupus familiaris",11292,"Philippines","2016","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-16-013, partial genome.","MN726848.1"
"103","MN726847","Z-16-210","Canis lupus familiaris",11292,"Philippines","2017","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-16-210, partial genome.","MN726847.1"
"104","MN726846","Z-15-001","Canis lupus familiaris",11292,"Philippines","2015","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-15-001, partial genome.","MN726846.1"
"105","MN726845","Z-12-001","Canis lupus familiaris",11292,"Philippines","2012","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-12-001, partial genome.","MN726845.1"
"106","MN726844","Z-14-033","Canis lupus familiaris",11292,"Philippines","2014","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-14-033, partial genome.","MN726844.1"
"107","MN726843","Z-12-088","Canis lupus familiaris",11292,"Philippines","2012","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-12-088, partial genome.","MN726843.1"
"108","MN726842","REGION_5_2019-13","Canis lupus familiaris",11292,"Philippines","2019","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate REGION_5_2019-13, partial genome.","MN726842.1"
"109","MN726841","Z-14-146","Canis lupus familiaris",11292,"Philippines","2014","genotype: Asian SEA4
",11863,"Rabies lyssavirus isolate Z-14-146, partial genome.","MN726841.1"
"110","MN726840","Z-15-148","Canis lupus familiaris",11292,"Philippines","2015","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-15-148, partial genome.","MN726840.1"
"111","MN726839","Z-15-116","Canis lupus familiaris",11292,"Philippines","2015","genotype: Asian SEA4
",11863,"Rabies lyssavirus isolate Z-15-116, partial genome.","MN726839.1"
"112","MN726838","Z-13-094","Canis lupus familiaris",11292,"Philippines","2013","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-13-094, partial genome.","MN726838.1"
"113","MN726837","Z-13-009","Canis lupus familiaris",11292,"Philippines","2013","genotype: Asian SEA4
",11653,"Rabies lyssavirus isolate Z-13-009, partial genome.","MN726837.1"
"114","MN726836","Z-13-002","Canis lupus familiaris",11292,"Philippines","2013","genotype: Asian SEA4
",11863,"Rabies lyssavirus isolate Z-13-002, partial genome.","MN726836.1"
"115","MN726835","PM018","Canis lupus familiaris",11292,"Tanzania","2017","genotype: Cosmopolitan AF1b
",11559,"Rabies lyssavirus isolate PM018, partial genome.","MN726835.1"
"116","MN726833","SD641","Canis lupus familiaris",11292,"Tanzania","2017","genotype: Cosmopolitan AF1b
",11821,"Rabies lyssavirus isolate SD641, partial genome.","MN726833.1"
"117","MN726831","Z08138851","bovine",11292,"Kenya","2013","genotype: Cosmopolitan AF1b",11846,"Rabies lyssavirus isolate Z08138851, partial genome.","MN726831.1"
"118","MN726830","Z0826752","bovine",11292,"Kenya","2018","genotype: Cosmopolitan AF1a",11846,"Rabies lyssavirus isolate Z0826752, partial genome.","MN726830.1"
"119","MN726829","SD693","Canis lupus familiaris",11292,"Tanzania","2017","genotype: Cosmopolitan AF1b
",11517,"Rabies lyssavirus isolate SD693, partial genome.","MN726829.1"
"120","MN726827","PM023","Canis lupus familiaris",11292,"Tanzania","2017","genotype: Cosmopolitan AF1b
",11869,"Rabies lyssavirus isolate PM023, partial genome.","MN726827.1"
"121","MN726826","Rab16025","Canis lupus familiaris",11292,"Tanzania","2016","genotype: Cosmopolitan AF1b
",11868,"Rabies lyssavirus isolate Rab16025, partial genome.","MN726826.1"
"122","MN726825","SD577SG","Canis mesomelas",11292,"Tanzania","2015","genotype: Cosmopolitan AF1b
",11732,"Rabies lyssavirus isolate SD577SG, partial genome.","MN726825.1"
"123","MN726824","RAB16031","Canis lupus familiaris",11292,"Tanzania","2016","genotype: Cosmopolitan AF1b
",11632,"Rabies lyssavirus isolate RAB16031, partial genome.","MN726824.1"
"124","MN726821","B397_field","bovine",11292,"Kenya","2018","genotype: Cosmopolitan AF1b",11598,"Rabies lyssavirus isolate B397_field, partial genome.","MN726821.1"
"125","MN726820","SD683","Felis catus",11292,"Tanzania","2017","genotype: Cosmopolitan AF1b",11819,"Rabies lyssavirus isolate SD683, partial genome.","MN726820.1"
"126","MN726819","2010818843","Homo sapiens",11292,"Kenya","2013","genotype: Cosmopolitan AF1a
",11846,"Rabies lyssavirus isolate 2010818843, partial genome.","MN726819.1"
"127","MN726818","SD601","Canis lupus familiaris",11292,"Tanzania","2015","genotype: Cosmopolitan AF1b
",11869,"Rabies lyssavirus isolate SD601, partial genome.","MN726818.1"
"128","MN726817","SD620","Bos taurus",11292,"Tanzania","2016","genotype: Cosmopolitan AF1b",11633,"Rabies lyssavirus isolate SD620, partial genome.","MN726817.1"
"129","MN726816","CR020_field","Capra hircus",11292,"Kenya","2018","genotype: Cosmopolitan AF1b
",11598,"Rabies lyssavirus isolate CR020_field, partial genome.","MN726816.1"
"130","MN726815","SD577","Canis mesomelas",11292,"Tanzania","2015","genotype: Cosmopolitan AF1b
",11869,"Rabies lyssavirus isolate SD577, partial genome.","MN726815.1"
"131","MN726814","M009_field","feline",11292,"Kenya","2018","genotype: Cosmopolitan AF1b",11846,"Rabies lyssavirus isolate M009_field, partial genome.","MN726814.1"
"132","MN726812","Z0826362","canine",11292,"Kenya","2017","genotype: Cosmopolitan AF1a",11847,"Rabies lyssavirus isolate Z0826362, partial genome.","MN726812.1"
"133","MN726810","2011100179","Homo sapiens",11292,"Kenya","2015","genotype: Cosmopolitan AF1a
",11589,"Rabies lyssavirus isolate 2011100179, partial genome.","MN726810.1"
"134","MN726809","PM015","Canis lupus familiaris",11292,"Tanzania","2016","genotype: Cosmopolitan AF1b
",11545,"Rabies lyssavirus isolate PM015, partial genome.","MN726809.1"
"135","MN726808","SD622","Canis lupus familiaris",11292,"Tanzania","2016","genotype: Cosmopolitan AF1b
",11806,"Rabies lyssavirus isolate SD622, partial genome.","MN726808.1"
"136","MN726805","20826361_field","Ovis aries",11292,"Kenya","2017","genotype: Cosmopolitan AF1a
",11846,"Rabies lyssavirus isolate 20826361_field, partial genome.","MN726805.1"
"137","MN726802","RAB16033",NA,11292,"Tanzania","2016","genotype: Cosmopolitan AF1b",11552,"Rabies lyssavirus isolate RAB16033, partial genome.","MN726802.1"
"138","MK111080",NA,NA,11292,NA,NA,NA,11874,"Rabies lyssavirus strain Lysvulpen 0922, complete genome.","MK111080.1"
"139","MK111079",NA,NA,11292,NA,NA,NA,11874,"Rabies lyssavirus strain Lysvulpen 6321, complete genome.","MK111079.1"
"140","MK111078",NA,NA,11292,NA,NA,NA,11874,"Rabies lyssavirus strain Lysvulpen 1819, complete genome.","MK111078.1"
"141","MK111077",NA,NA,11292,NA,NA,NA,11874,"Rabies lyssavirus strain Lysvulpen 0519, complete genome.","MK111077.1"
"142","MK111076",NA,NA,11292,NA,NA,NA,11874,"Rabies lyssavirus strain Lysvulpen 0622, complete genome.","MK111076.1"
"143","MK111075",NA,"fox",11292,"Hungary","2015",NA,11874,"Rabies lyssavirus strain Csabaszabadi, complete genome.","MK111075.1"
"144","MK689676","GS1701D","dog",11292,"China: Gansu","2017-10-15",NA,11769,"Rabies lyssavirus isolate GS1701D, complete genome.","MK689676.1"
"145","MK689675","GS1703D","dog",11292,"China: Gansu","2017-10-15",NA,11770,"Rabies lyssavirus isolate GS1703D, complete genome.","MK689675.1"
"146","MK689674","GS1704D","dog",11292,"China: Gansu","2017-10-15",NA,11770,"Rabies lyssavirus isolate GS1704D, complete genome.","MK689674.1"
"147","MK760770","E15033","Canis lupus familiaris",11292,"Egypt: Berket El-Sabea","2009",NA,11725,"Rabies lyssavirus isolate E15033 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760770.1"
"148","MK760769","E15031","donkey",11292,"Egypt: Wady El- Natroon","2009",NA,11723,"Rabies lyssavirus isolate E15031 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760769.1"
"149","MK760768","E15028","Canis lupus familiaris",11292,"Egypt: Berket El-Sabea","2007",NA,11722,"Rabies lyssavirus isolate E15028 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760768.1"
"150","MK760767","94-A-35","wolf",11292,"Iran: Gilan","01-Dec-2015",NA,11722,"Rabies lyssavirus isolate 94-A-35 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760767.1"
"151","MK760766","94-A-29","Canis lupus familiaris",11292,"Iran: Mazandaran","04-Oct-2015",NA,11722,"Rabies lyssavirus isolate 94-A-29 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760766.1"
"152","MK760765","93-A-94","Canis lupus familiaris",11292,"Iran: Qom","08-Jun-2014",NA,11722,"Rabies lyssavirus isolate 93-A-94 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760765.1"
"153","MK760764","93-A-88","Canis lupus familiaris",11292,"Iran: Isfahan","07-Jun-2014",NA,11722,"Rabies lyssavirus isolate 93-A-88 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760764.1"
"154","MK760763","93-A-71","jackal",11292,"Iran: Qom","25-May-2014",NA,11722,"Rabies lyssavirus isolate 93-A-71 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760763.1"
"155","MK760762","93-A-53","wolf",11292,"Iran: East Azarbaijan","14-May-2014",NA,11722,"Rabies lyssavirus isolate 93-A-53 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760762.1"
"156","MK760761","93-A-52","Canis lupus familiaris",11292,"Iran: Sistan and Baluchestan","12-May-2014",NA,11725,"Rabies lyssavirus isolate 93-A-52 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760761.1"
"157","MK760760","93-A-45","Canis lupus familiaris",11292,"Iran: Khuzestan","03-May-2014",NA,11722,"Rabies lyssavirus isolate 93-A-45 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760760.1"
"158","MK760759","93-A-40","fox",11292,"Iran: Ardabil","27-Dec-2014",NA,11723,"Rabies lyssavirus isolate 93-A-40 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760759.1"
"159","MK760758","93-A-337","Canis lupus familiaris",11292,"Iran: Markazi","04-Dec-2014",NA,11722,"Rabies lyssavirus isolate 93-A-337 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760758.1"
"160","MK760757","93-A-311","Canis lupus familiaris",11292,"Iran: Kermanshah","16-Nov-2014",NA,11722,"Rabies lyssavirus isolate 93-A-311 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760757.1"
"161","MK760756","93-A-305","Canis lupus familiaris",11292,"Iran: Khuzestan","15-Nov-2014",NA,11722,"Rabies lyssavirus isolate 93-A-305 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760756.1"
"162","MK760755","93-A-29","Canis lupus familiaris",11292,"Iran: Semnan","23-Apr-2014",NA,11722,"Rabies lyssavirus isolate 93-A-29 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760755.1"
"163","MK760754","93-A-27","Canis lupus familiaris",11292,"Iran: Kurdistan","19-Apr-2014",NA,11723,"Rabies lyssavirus isolate 93-A-27 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760754.1"
"164","MK760753","93-A-246","fox",11292,"Iran: North Khorasan","01-Oct-2014",NA,11722,"Rabies lyssavirus isolate 93-A-246 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760753.1"
"165","MK760752","93-A-241","wolf",11292,"Iran: East Azarbaijan","27-Sep-2014",NA,11722,"Rabies lyssavirus isolate 93-A-241 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760752.1"
"166","MK760751","93-A-225","Canis lupus familiaris",11292,"Iran: East Azarbaijan","14-Aug-2014",NA,11722,"Rabies lyssavirus isolate 93-A-225 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760751.1"
"167","MK760750","93-A-211","marten",11292,"Iran: Lorestan","31-Aug-2014",NA,11722,"Rabies lyssavirus isolate 93-A-211 nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds.","MK760750.1"
